PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
126.47,230.27,140.17,8.7,1.24,42.26,20.87,304,Very Poor
127.94,187.83,106.1,9.27,1.43,15.29,26.24,312,Very Poor
126.66,196.3,92.41,11.1,1.33,15.9,28.51,304,Very Poor
121.47,184.73,94.51,13.66,1.45,11.75,26.07,306,Very Poor
118.17,215.5,103.31,13.63,1.5,16.53,24.55,302,Very Poor
97.45,219.63,121.38,11.21,1.25,39.68,21.18,298,Poor
115.23,225.75,121.94,10.39,0.86,66.39,27.23,274,Poor
121.81,198.47,113.39,7.38,0.78,9.43,20.07,270,Poor
99.69,193.4,100.16,8.62,0.96,10.56,24.73,302,Very Poor
92.66,157.03,71.61,15.19,0.5,10.52,24.22,257,Poor
116.99,146.49,57.32,17.36,0.64,12.33,25.51,212,Poor
120.33,172.92,58.43,17.38,0.44,12.91,26.84,256,Poor
108.43,182.65,60.37,17.46,1.02,26.39,21.83,301,Very Poor
118,159.44,50.62,17.97,0.7,6.49,24.73,274,Poor
107.94,174.01,58.6,16.97,0.82,13.73,24.69,262,Poor
108.34,163.17,63.17,18.79,0.8,26.75,21.59,287,Poor
96.45,173.27,61.22,22.53,0.72,11.71,23.64,262,Poor
90.25,159.1,71.77,17.22,0.91,16,22.52,242,Poor
100.34,141.29,64.26,18.38,0.55,14.8,25.31,204,Poor
62.75,165.55,60.14,20.43,0.85,13.57,24.82,230,Poor
62.74,117.55,49.18,21.17,0.55,13.17,28.15,171,Moderate
34.51,108.94,43.14,20.36,0.87,11.48,20.37,113,Moderate
15.12,63.23,38.2,21.38,0.72,12.19,17.24,96,Satisfactory
27.25,40.61,22.75,22.92,0.38,8.37,19.39,56,Satisfactory
51.67,49.07,27.55,22.29,0.44,11.04,19.68,48,Good
54.24,70.71,55.79,17.58,1.28,15.66,20.15,91,Satisfactory
47.81,87.78,56.1,17.76,0.98,27.99,25.38,96,Satisfactory
84.99,99.22,65.34,17.61,1.02,26.84,36.53,111,Moderate
63.05,137.17,71.78,12.16,1.39,15.58,47.94,143,Moderate
71.09,111.15,68.18,15.31,1.06,13.42,47.46,141,Moderate
76.78,128.56,85.01,14.32,1.15,10.68,40.2,130,Moderate
73.21,129.54,69.13,13.58,1.27,17.71,48.7,149,Moderate
81.64,129.76,61.14,15.38,1.11,16.63,62.74,150,Moderate
81.71,146.56,83.44,14.61,1.58,12.92,43.18,159,Moderate
75.52,142.46,74.7,10.83,1.03,18.7,37.16,178,Moderate
58.02,125.82,25.85,10.97,0.74,12.37,32.23,159,Moderate
65.56,96.18,16.37,17.41,0.76,8.47,38.97,126,Moderate
56.98,128.56,23.26,16.81,0.86,16.7,34.16,115,Moderate
74.5,148.8,16.86,13.91,0.52,10.21,32.14,136,Moderate
66.61,119.5,17.12,16.46,0.66,10.22,39.91,131,Moderate
70.86,121.81,26.18,13.97,0.66,9.84,39.63,137,Moderate
69.96,142.17,28.42,14.9,0.74,10.43,41.96,121,Moderate
60.11,130.91,35.52,16.42,0.84,9.78,37.99,157,Moderate
33.9,101.22,22.82,16.94,0.7,6.98,40.95,116,Moderate
31.75,64.61,15.97,14.52,0.55,7.78,32.91,87,Satisfactory
34.8,58.96,13.31,12.92,0.54,13.52,27.85,58,Satisfactory
